Name                     Mass                     R_a                      R_p                      SFE                      Fe-H                     FeSpread       #data based on Bailin (2019) and Hilker et al. (2019)          

47_Tuc                   807000.0                 7.44                     5.47                     0.3                      -0.747                   0.033                    
NGC_288                  98400.0                  12.26                    2.01                     0.3                      -1.226                   0.037                    
NGC_362                  336000.0                 12.41                    1.02                     0.3                      -1.213                   0.074                    
NGC_1851                 281000.0                 19.2                     0.85                     0.3                      -1.157                   0.046                    
NGC_1904                 156000.0                 19.51                    0.82                     0.3                      -1.55                    0.027                    
NGC_2419                 1430000.0                92.2                     15.89                    0.3                      -2.095                   0.032                    
NGC_2808                 869000.0                 14.76                    0.97                     0.3                      -1.12                    0.035                    
NGC_3201                 141000.0                 24.15                    8.2                      0.3                      -1.496                   0.044                    
NGC_4590                 132000.0                 29.51                    8.95                     0.3                      -2.255                   0.053                    
NGC_4833                 180000.0                 7.68                     0.9                      0.3                      -2.07                    0.013                    
NGC_5024                 417000.0                 22.21                    9.11                     0.3                      -1.995                   0.071                    
NGC_5053                 73000.0                  17.74                    10.33                    0.3                      -2.45                    0.041                    
NGC_5139                 3340000.0                6.99                     1.33                     0.3                      -1.647                   0.271                    
NGC_5272                 360000.0                 15.16                    5.44                     0.3                      -1.391                   0.097                    
NGC_5286                 359000.0                 13.32                    1.17                     0.3                      -1.727                   0.103                    
NGC_5466                 54700.0                  53.55                    6.8                      0.3                      -1.865                   0.075                    
NGC_5634                 220000.0                 23.76                    3.97                     0.3                      -1.869                   0.081                    
NGC_5694                 367000.0                 65.74                    3.9                      0.3                      -2.017                   0.046                    
NGC_5824                 849000.0                 33.72                    12.48                    0.3                      -2.174                   0.058                    
NGC_5904                 368000.0                 24.03                    2.89                     0.3                      -1.259                   0.041                    
NGC_5986                 331000.0                 5.08                     0.7                      0.3                      -1.527                   0.061                    
NGC_6093                 264000.0                 3.53                     0.36                     0.3                      -1.789                   0.014                    
NGC_6121                 92900.0                  6.2                      0.62                     0.3                      -1.166                   0.05                     
NGC_6139                 348000.0                 3.58                     1.37                     0.3                      -1.593                   0.033                    
NGC_6171                 81300.0                  3.74                     1.16                     0.3                      -0.949                   0.047                    
NGC_6205                 469000.0                 8.32                     1.56                     0.3                      -1.443                   0.101                    
NGC_6218                 86700.0                  4.8                      2.37                     0.3                      -1.315                   0.029                    
NGC_6229                 288000.0                 30.94                    2.05                     0.3                      -1.129                   0.044                    
NGC_6254                 189000.0                 4.59                     1.98                     0.3                      -1.559                   0.049                    
NGC_6266                 690000.0                 2.36                     0.83                     0.3                      -1.075                   0.041                    
NGC_6273                 657000.0                 3.34                     1.22                     0.3                      -1.612                   0.161                    
NGC_6341                 312000.0                 10.57                    1.0                      0.3                      -2.239                   0.083                    
NGC_6362                 116000.0                 5.16                     2.54                     0.3                      -1.092                   0.017                    
NGC_6366                 42900.0                  5.31                     1.97                     0.3                      -0.555                   0.071                    
NGC_6388                 1130000.0                3.78                     1.11                     0.3                      -0.428                   0.054                    
NGC_6397                 89800.0                  6.23                     2.63                     0.3                      -1.994                   0.028                    
NGC_6402                 739000.0                 4.36                     0.63                     0.3                      -1.13                    0.053                    
NGC_6441                 1250000.0                3.91                     1.0                      0.3                      -0.334                   0.079                    
NGC_6535                 13100.0                  4.5                      0.97                     0.3                      -1.963                   0.035                    
NGC_6553                 445000.0                 2.32                     1.26                     0.3                      -0.151                   0.047                    
NGC_6569                 228000.0                 2.97                     1.88                     0.3                      -0.867                   0.055                    
NGC_6626                 284000.0                 2.89                     0.58                     0.3                      -1.287                   0.075                    
NGC_6656                 409000.0                 9.48                     2.95                     0.3                      -1.803                   0.132                    
NGC_6681                 120000.0                 4.93                     0.85                     0.3                      -1.633                   0.028                    
NGC_6715                 1620000.0                36.59                    12.5                     0.3                      -1.559                   0.183                    
NGC_6752                 232000.0                 5.37                     3.23                     0.3                      -1.583                   0.034                    
NGC_6809                 188000.0                 5.54                     1.59                     0.3                      -1.934                   0.045                    
NGC_6838                 62900.0                  7.08                     4.75                     0.3                      -0.736                   0.039                    
NGC_6864                 410000.0                 17.51                    1.8                      0.3                      -1.164                   0.059                    
NGC_7078                 499000.0                 10.4                     3.57                     0.3                      -2.287                   0.053                    
NGC_7089                 520000.0                 16.93                    0.56                     0.3                      -1.399                   0.021                    
NGC_7099                 139000.0                 8.17                     1.49                     0.3                      -2.356                   0.037                    
Terzan_1                 272000.0                 1.48                     0.24                     0.3                      -1.263                   0.037                    
Terzan_5                 760000.0                 2.96                     0.89                     0.3                      -0.092                   0.295                    
Terzan_8                 58300.0                  1.65                     0.24                     0.3                      -2.255                   0.098                    

