mass[Msun]          SN      #data from Fig. 13 Sukhbold et al. (2016)
12.256410256410255  1
15                  1
15.076923076923077  0
17.94871794871795   0
17.974358974358974  1
18.102564102564102  1
18.128205128205128  0
18.17948717948718   1
18.58974358974359   1
18.615384615384613  0
19.358974358974358  0
19.384615384615387  1
19.51282051282051   1
19.53846153846154   0
19.769230769230766  0
19.82051282051282   1
20.025641025641026  1
20.076923076923077  0
20.28205128205128   0
20.333333333333332  1
20.717948717948715  1
20.794871794871796  0
25.38461538461538   0
25.435897435897438  1
25.51282051282051   1
25.564102564102562  0
25.666666666666664  0
25.717948717948715  1
26.358974358974358  1
26.384615384615387  0

